iter	Passed	Remaining
911	3128	5446
912	3132	5444
913	3134	5439
914	3137	5434
915	3140	5431
916	3144	5428
917	3146	5423
918	3150	5420
919	3152	5414
920	3155	5410
921	3159	5407
922	3161	5402
923	3164	5396
924	3166	5391
925	3168	5386
926	3172	5383
927	3175	5380
928	3179	5377
929	3183	5374
930	3187	5371
931	3190	5367
932	3193	5362
933	3196	5358
934	3200	5356
935	3202	5351
936	3206	5348
937	3209	5344
938	3212	5341
939	3216	5337
940	3219	5333
941	3223	5331
942	3226	5326
943	3228	5322
944	3231	5316
945	3235	5314
946	3238	5311
947	3242	5308
948	3246	5305
949	3250	5303
950	3254	5301
951	3257	5297
952	3261	5294
953	3264	5290
954	3267	5285
955	3270	5281
956	3272	5276
957	3276	5273
958	3280	5271
959	3284	5269
960	3287	5265
961	3290	5261
962	3294	5258
963	3298	5256
964	3303	5254
965	3307	5251
966	3311	5249
967	3313	5244
968	3317	5241
969	3321	5238
970	3323	5234
971	3327	5230
972	3330	5227
973	3334	5224
974	3337	5220
975	3340	5216
976	3344	5213
977	3348	5211
978	3352	5207
979	3355	5204
980	3359	5201
981	3363	5199
982	3367	5196
983	3369	5191
984	3374	5189
985	3378	5187
986	3381	5183
987	3384	5179
988	3388	5177
989	3392	5173
990	3394	5169
991	3397	5165
992	3400	5161
993	3403	5156
994	3406	5151
995	3410	5149
996	3414	5147
997	3418	5144
998	3422	5142
999	3428	5142
1000	3431	5137
1001	3433	5132
1002	3435	5127
1003	3438	5124
1004	3442	5120
1005	3446	5118
1006	3450	5115
1007	3455	5113
1008	3458	5110
1009	3463	5109
1010	3466	5105
1011	3468	5100
1012	3473	5098
1013	3477	5096
1014	3480	5092
1015	3484	5090
1016	3489	5087
1017	3491	5083
1018	3495	5079
1019	3498	5075
1020	3502	5073
1021	3504	5068
1022	3507	5064
1023	3511	5061
1024	3513	5056
1025	3517	5053
1026	3519	5048
1027	3522	5044
1028	3526	5040
1029	3529	5036
1030	3532	5032
1031	3536	5029
1032	3539	5027
1033	3542	5022
1034	3544	5017
1035	3547	5013
1036	3549	5008
1037	3554	5005
1038	3557	5002
1039	3560	4997
1040	3562	4993
1041	3567	4991
1042	3570	4988
1043	3575	4985
1044	3578	4982
1045	3581	4978
1046	3585	4975
1047	3589	4972
1048	3592	4968
1049	3595	4964
1050	3597	4959
1051	3600	4955
1052	3603	4951
1053	3606	4947
1054	3609	4944
1055	3611	4939
1056	3614	4934
1057	3619	4932
1058	3623	4930
1059	3625	4925
1060	3628	4921
1061	3632	4919
1062	3635	4915
1063	3639	4912
1064	3642	4908
1065	3646	4905
1066	3649	4901
1067	3653	4898
1068	3657	4895
1069	3660	4892
1070	3663	4888
1071	3667	4885
1072	3671	4882
1073	3674	4878
1074	3677	4874
1075	3680	4871
1076	3683	4867
1077	3687	4864
1078	3691	4861
1079	3695	4858
1080	3698	4855
1081	3703	4853
1082	3707	4850
1083	3710	4846
1084	3714	4843
1085	3718	4841
1086	3720	4836
1087	3724	4834
1088	3729	4831
1089	3733	4829
1090	3737	4826
1091	3741	4824
1092	3745	4821
1093	3748	4817
1094	3751	4813
1095	3754	4809
1096	3758	4806
1097	3761	4802
1098	3763	4797
1099	3767	4794
1100	3769	4790
1101	3772	4785
1102	3775	4781
1103	3778	4777
1104	3780	4772
1105	3783	4769
1106	3787	4766
1107	3790	4762
1108	3794	4759
1109	3797	4755
1110	3800	4751
1111	3804	4748
1112	3806	4743
1113	3810	4740
1114	3813	4737
1115	3817	4733
1116	3820	4730
1117	3824	4727
1118	3828	4724
1119	3831	4721
1120	3835	4718
1121	3839	4715
1122	3842	4712
1123	3847	4709
1124	3850	4706
1125	3852	4701
1126	3856	4698
1127	3860	4696
1128	3863	4691
1129	3865	4686
1130	3868	4682
1131	3872	4679
1132	3874	4674
1133	3877	4670
1134	3880	4667
1135	3883	4662
1136	3887	4660
1137	3891	4657
1138	3894	4653
1139	3898	4650
1140	3902	4647
1141	3906	4645
1142	3909	4641
1143	3913	4638
1144	3917	4636
1145	3920	4631
1146	3923	4627
1147	3927	4625
1148	3930	4621
1149	3933	4617
1150	3937	4614
1151	3940	4611
1152	3944	4608
1153	3947	4604
1154	3951	4601
1155	3953	4596
1156	3957	4593
1157	3960	4589
1158	3963	4585
1159	3966	4582
1160	3969	4578
1161	3972	4574
1162	3976	4571
1163	3978	4566
1164	3982	4563
1165	3986	4560
1166	3989	4556
1167	3992	4552
1168	3994	4548
1169	3997	4544
1170	4001	4541
1171	4005	4538
1172	4007	4533
1173	4009	4528
1174	4013	4525
1175	4016	4521
1176	4020	4518
1177	4023	4515
1178	4027	4512
1179	4030	4508
1180	4034	4505
1181	4038	4502
1182	4041	4499
1183	4044	4495
1184	4048	4492
1185	4052	4489
1186	4055	4486
1187	4059	4482
1188	4062	4479
1189	4065	4475
1190	4068	4472
1191	4073	4469
1192	4077	4466
1193	4080	4463
1194	4084	4460
1195	4087	4456
1196	4091	4454
1197	4095	4450
1198	4098	4447
1199	4101	4443
1200	4105	4440
1201	4109	4437
1202	4112	4434
1203	4115	4430
1204	4119	4427
1205	4122	4423
1206	4126	4420
1207	4129	4417
1208	4133	4414
1209	4136	4410
1210	4139	4406
1211	4143	4403
1212	4146	4399
1213	4148	4394
1214	4152	4391
1215	4155	4388
1216	4158	4383
1217	4161	4380
1218	4165	4377
1219	4169	4374
1220	4172	4370
1221	4176	4368
1222	4179	4364
1223	4182	4360
1224	4186	4357
1225	4189	4353
1226	4192	4350
1227	4197	4347
1228	4201	4344
1229	4203	4340
1230	4206	4336
1231	4210	4333
1232	4214	4330
1233	4217	4327
1234	4220	4322
1235	4223	4319
1236	4228	4317
1237	4231	4313
1238	4235	4311
1239	4238	4307
1240	4242	4304
1241	4245	4299
1242	4248	4296
1243	4252	4293
1244	4255	4289
1245	4258	4286
1246	4262	4283
1247	4266	4280
1248	4271	4278
1249	4277	4277
1250	4280	4273
1251	4283	4269
1252	4286	4266
1253	4290	4263
1254	4294	4260
1255	4296	4255
1256	4300	4252
1257	4302	4247
1258	4306	4245
1259	4310	4242
1260	4313	4238
1261	4317	4235
1262	4320	4231
1263	4324	4228
1264	4327	4225
1265	4331	4222
1266	4334	4218
1267	4338	4215
1268	4342	4212
1269	4345	4208
1270	4348	4204
1271	4352	4201
1272	4354	4197
1273	4358	4193
1274	4361	4190
1275	4364	4187
1276	4367	4183
1277	4372	4180
1278	4375	4177
1279	4378	4173
1280	4382	4170
1281	4386	4167
1282	4391	4165
1283	4395	4162
1284	4399	4159
1285	4403	4156
1286	4406	4152
1287	4409	4149
1288	4411	4144
1289	4415	4141
1290	4418	4138
1291	4422	4135
1292	4426	4132
1293	4430	4129
1294	4434	4126
1295	4437	4122
1296	4440	4118
1297	4443	4115
1298	4447	4112
1299	4451	4108
1300	4454	4105
1301	4458	4102
1302	4462	4099
1303	4466	4096
1304	4468	4091
1305	4471	4088
1306	4475	4085
1307	4480	4082
1308	4483	4079
1309	4486	4075
1310	4490	4072
1311	4493	4069
1312	4495	4064
1313	4498	4060
1314	4502	4057
1315	4506	4054
1316	4510	4051
1317	4513	4048
1318	4517	4044
1319	4522	4042
1320	4524	4038
1321	4527	4034
1322	4531	4031
1323	4534	4027
1324	4538	4024
1325	4542	4021
1326	4544	4017
1327	4548	4014
1328	4550	4009
1329	4553	4005
1330	4557	4002
1331	4560	3999
1332	4564	3995
1333	4567	3992
1334	4571	3989
1335	4573	3985
1336	4577	3981
1337	4581	3978
1338	4584	3974
1339	4588	3972
1340	4591	3968
1341	4593	3963
1342	4597	3960
1343	4601	3957
1344	4604	3953
1345	4609	3951
1346	4611	3947
1347	4615	3944
1348	4619	3941
1349	4623	3938
1350	4627	3935
1351	4629	3931
1352	4633	3927
1353	4635	3923
1354	4639	3920
1355	4642	3917
1356	4646	3913
1357	4650	3910
1358	4653	3907
1359	4657	3904
1360	4661	3900
1361	4664	3897
1362	4668	3894
1363	4672	3891
1364	4674	3886
1365	4678	3883
1366	4681	3880
1367	4685	3877
1368	4688	3873
1369	4692	3870
1370	4695	3866
1371	4699	3863
1372	4703	3860
1373	4707	3857
1374	4709	3853
1375	4713	3850
1376	4716	3846
1377	4720	3843
1378	4724	3840
1379	4727	3837
1380	4730	3832
1381	4734	3829
1382	4737	3826
1383	4740	3822
1384	4744	3819
1385	4746	3815
1386	4749	3811
1387	4751	3806
1388	4753	3801
1389	4756	3798
1390	4759	3794
1391	4762	3791
1392	4766	3787
1393	4770	3784
1394	4773	3781
1395	4777	3778
1396	4780	3774
1397	4783	3771
1398	4785	3766
1399	4790	3763
1400	4793	3760
1401	4797	3757
1402	4801	3754
1403	4804	3750
1404	4809	3748
1405	4813	3745
1406	4816	3741
1407	4819	3737
1408	4821	3733
1409	4824	3729
1410	4828	3726
1411	4831	3722
1412	4834	3719
1413	4837	3715
1414	4841	3712
1415	4845	3709
1416	4849	3706
1417	4851	3701
1418	4855	3698
1419	4857	3694
1420	4860	3690
1421	4864	3687
1422	4867	3683
1423	4871	3680
1424	4874	3677
1425	4878	3674
1426	4882	3670
1427	4885	3667
1428	4888	3664
1429	4892	3661
1430	4896	3657
1431	4899	3654
1432	4904	3651
1433	4907	3648
1434	4910	3644
1435	4912	3640
1436	4916	3637
1437	4919	3632
1438	4921	3628
1439	4925	3625
1440	4929	3622
1441	4931	3618
1442	4935	3614
1443	4937	3610
1444	4940	3606
1445	4943	3603
1446	4945	3598
1447	4948	3595
1448	4950	3591
1449	4953	3587
1450	4955	3582
1451	4958	3578
1452	4962	3575
1453	4964	3571
1454	4968	3568
1455	4971	3564
1456	4974	3560
1457	4977	3557
1458	4980	3553
1459	4983	3550
1460	4986	3546
1461	4989	3542
1462	4992	3538
1463	4994	3534
1464	4997	3530
1465	5000	3527
1466	5004	3524
1467	5007	3520
1468	5011	3516
1469	5013	3512
1470	5016	3509
1471	5020	3505
1472	5024	3503
1473	5027	3499
1474	5031	3496
1475	5034	3493
1476	5037	3489
1477	5041	3485
1478	5044	3482
1479	5047	3478
1480	5051	3475
1481	5055	3472
1482	5057	3468
1483	5060	3464
1484	5063	3460
1485	5065	3456
1486	5069	3453
1487	5071	3449
1488	5075	3446
1489	5078	3442
1490	5081	3438
1491	5085	3435
1492	5087	3431
1493	5090	3428
